date,bc_active_addresses,bc_tx_count,bc_hash_rate,bc_fees_usd,bc_tx_volume_usd,bc_mempool_bytes,cm_mvrv,cm_active_addr,cm_stablecoin_cap,fear_greed,spx,dxy,vix,us10y
2025-09-06 00:00:00+00:00,481276.0,441035.0,946761026.3534616,404443.3593802001,3437337619.6244116,200475.0,2.081547548704114,613246.0,244895696465.6529,48.0,,,,
2025-09-07 00:00:00+00:00,458587.0,586276.0,1041437128.988808,358999.4006492001,2596166281.3931866,1707562.5,2.1007955085878978,594567.0,244802900643.49948,44.0,,,,
2025-09-08 00:00:00+00:00,511832.0,567934.0,1082012601.5468137,462264.6082519997,7661404614.42701,2056004.5,2.114485395928852,732824.0,244724312619.8136,51.0,6495.15,120.0971,15.11,4.05
2025-09-09 00:00:00+00:00,549610.0,619514.0,1129350652.8644862,518603.9156243999,10652209784.065067,468417.5,2.1019000165432096,725526.0,245008224892.45648,48.0,6512.61,120.1569,15.04,4.08
2025-09-10 00:00:00+00:00,542027.0,643239.0,1149638389.1434891,461436.58874749986,11031790195.23848,112448.5,2.145924375428194,687721.0,244568431600.37152,49.0,6532.04,120.1223,15.35,4.04
2025-09-11 00:00:00+00:00,537753.0,598468.0,1014386813.9501374,471484.75869760005,12917697920.895584,281969.0,2.1718284060122492,722040.0,244921956205.76395,54.0,6587.47,119.9534,14.71,4.01
2025-09-12 00:00:00+00:00,543345.0,396513.0,811509451.1601102,581832.5587754002,13838292752.335754,4291544.5,2.1834524058125826,721666.0,246386147879.49908,57.0,6584.29,120.0611,14.76,4.06
2025-09-13 00:00:00+00:00,526152.0,533108.0,953523605.1131293,519236.1506937,5789043918.79074,1426074.0,2.178678922337634,684987.0,246605246620.30295,52.0,,,,
2025-09-14 00:00:00+00:00,494770.0,534198.0,1034674550.2291405,368009.7275761001,3898286436.661168,2308017.5,2.1673601179200923,646063.0,247521931014.23022,55.0,,,,
2025-09-15 00:00:00+00:00,549560.0,535154.0,1102300337.8258162,510972.2694737,12687401399.611538,1277536.5,2.1656665085615017,773239.0,247772791434.08362,53.0,6615.28,119.5644,15.69,4.05
2025-09-16 00:00:00+00:00,546260.0,536633.0,1082012601.5468137,490850.8565477003,11014563418.224216,478771.0,2.1888797241350617,747555.0,246093600281.72528,52.0,6606.76,119.1348,16.36,4.04
2025-09-17 00:00:00+00:00,517428.0,362913.0,865610081.2374508,653712.1029144007,12962249455.147718,341783.5,2.1818070259413114,698218.0,246087365768.29886,53.0,6600.35,119.1582,15.72,4.06
2025-09-18 00:00:00+00:00,536964.0,448521.0,1087599379.1411881,443633.31275339995,13510976822.137205,1105440.0,2.1884252567803575,729042.0,247193204949.67664,52.0,6631.96,119.6616,15.7,4.11
2025-09-19 00:00:00+00:00,553195.0,478312.0,1188749380.7897809,448216.6315988001,11918810025.118149,356616.5,2.1584515968726663,759748.0,248048309998.28497,53.0,6664.36,119.7858,15.45,4.14
2025-09-20 00:00:00+00:00,535837.0,498549.0,1082611043.2192645,383200.9366258,6506869820.089035,8620811.0,2.1600824520314994,711626.0,247815387121.43854,48.0,,,,
2025-09-21 00:00:00+00:00,467555.0,513490.0,1146294045.7615743,350235.5522210002,3521336291.7833223,316745.0,2.1511992423053936,660574.0,247987708698.56778,49.0,,,,
2025-09-22 00:00:00+00:00,515742.0,456797.0,1061383375.7051616,384289.46025490004,15430507426.449467,927496.5,2.1030843290113816,747221.0,249240299330.41663,45.0,6693.75,119.8152,16.1,4.15
2025-09-23 00:00:00+00:00,506650.0,495947.0,1018928040.676955,315002.29749710014,13380103763.332317,1087414.5,2.0884207525288683,674195.0,249000370295.36816,43.0,6656.92,119.6202,16.64,4.12
